character,center_emotion,position,context_emotion,count,ratio
Chandler,neutral,prev,neutral,6,0.75
Chandler,neutral,next,neutral,5,0.7142857142857143
Chandler,neutral,prev,surprise,0,0.0
Chandler,neutral,next,surprise,0,0.0
Chandler,neutral,prev,fear,1,0.125
Chandler,neutral,next,fear,0,0.0
Chandler,neutral,prev,sadness,0,0.0
Chandler,neutral,next,sadness,1,0.14285714285714285
Chandler,neutral,prev,joy,0,0.0
Chandler,neutral,next,joy,1,0.14285714285714285
Chandler,neutral,prev,disgust,0,0.0
Chandler,neutral,next,disgust,0,0.0
Chandler,neutral,prev,anger,1,0.125
Chandler,neutral,next,anger,0,0.0
Chandler,surprise,prev,neutral,2,0.4
Chandler,surprise,next,neutral,0,0.0
Chandler,surprise,prev,surprise,3,0.6
Chandler,surprise,next,surprise,3,0.5
Chandler,surprise,prev,fear,0,0.0
Chandler,surprise,next,fear,0,0.0
Chandler,surprise,prev,sadness,0,0.0
Chandler,surprise,next,sadness,2,0.3333333333333333
Chandler,surprise,prev,joy,0,0.0
Chandler,surprise,next,joy,0,0.0
Chandler,surprise,prev,disgust,0,0.0
Chandler,surprise,next,disgust,0,0.0
Chandler,surprise,prev,anger,0,0.0
Chandler,surprise,next,anger,1,0.16666666666666666
Chandler,fear,prev,neutral,3,1.0
Chandler,fear,next,neutral,2,1.0
Chandler,fear,prev,surprise,0,0.0
Chandler,fear,next,surprise,0,0.0
Chandler,fear,prev,fear,0,0.0
Chandler,fear,next,fear,0,0.0
Chandler,fear,prev,sadness,0,0.0
Chandler,fear,next,sadness,0,0.0
Chandler,fear,prev,joy,0,0.0
Chandler,fear,next,joy,0,0.0
Chandler,fear,prev,disgust,0,0.0
Chandler,fear,next,disgust,0,0.0
Chandler,fear,prev,anger,0,0.0
Chandler,fear,next,anger,0,0.0
Chandler,sadness,prev,neutral,0,0.0
Chandler,sadness,next,neutral,0,0.0
Chandler,sadness,prev,surprise,2,0.6666666666666666
Chandler,sadness,next,surprise,0,0.0
Chandler,sadness,prev,fear,0,0.0
Chandler,sadness,next,fear,0,0.0
Chandler,sadness,prev,sadness,1,0.3333333333333333
Chandler,sadness,next,sadness,1,1.0
Chandler,sadness,prev,joy,0,0.0
Chandler,sadness,next,joy,0,0.0
Chandler,sadness,prev,disgust,0,0.0
Chandler,sadness,next,disgust,0,0.0
Chandler,sadness,prev,anger,0,0.0
Chandler,sadness,next,anger,0,0.0
Chandler,joy,prev,neutral,3,1.0
Chandler,joy,next,neutral,0,0.0
Chandler,joy,prev,surprise,0,0.0
Chandler,joy,next,surprise,1,0.5
Chandler,joy,prev,fear,0,0.0
Chandler,joy,next,fear,0,0.0
Chandler,joy,prev,sadness,0,0.0
Chandler,joy,next,sadness,0,0.0
Chandler,joy,prev,joy,0,0.0
Chandler,joy,next,joy,1,0.5
Chandler,joy,prev,disgust,0,0.0
Chandler,joy,next,disgust,0,0.0
Chandler,joy,prev,anger,0,0.0
Chandler,joy,next,anger,0,0.0
Chandler,disgust,prev,neutral,0,0.0
Chandler,disgust,next,neutral,0,0.0
Chandler,disgust,prev,surprise,0,0.0
Chandler,disgust,next,surprise,0,0.0
Chandler,disgust,prev,fear,0,0.0
Chandler,disgust,next,fear,0,0.0
Chandler,disgust,prev,sadness,0,0.0
Chandler,disgust,next,sadness,0,0.0
Chandler,disgust,prev,joy,0,0.0
Chandler,disgust,next,joy,0,0.0
Chandler,disgust,prev,disgust,1,1.0
Chandler,disgust,next,disgust,1,0.3333333333333333
Chandler,disgust,prev,anger,0,0.0
Chandler,disgust,next,anger,2,0.6666666666666666
Chandler,anger,prev,neutral,2,0.2857142857142857
Chandler,anger,next,neutral,3,0.375
Chandler,anger,prev,surprise,0,0.0
Chandler,anger,next,surprise,1,0.125
Chandler,anger,prev,fear,0,0.0
Chandler,anger,next,fear,0,0.0
Chandler,anger,prev,sadness,0,0.0
Chandler,anger,next,sadness,0,0.0
Chandler,anger,prev,joy,0,0.0
Chandler,anger,next,joy,1,0.125
Chandler,anger,prev,disgust,2,0.2857142857142857
Chandler,anger,next,disgust,1,0.125
Chandler,anger,prev,anger,3,0.42857142857142855
Chandler,anger,next,anger,2,0.25
Ross,neutral,prev,neutral,3,0.6
Ross,neutral,next,neutral,3,0.42857142857142855
Ross,neutral,prev,surprise,0,0.0
Ross,neutral,next,surprise,1,0.14285714285714285
Ross,neutral,prev,fear,0,0.0
Ross,neutral,next,fear,1,0.14285714285714285
Ross,neutral,prev,sadness,0,0.0
Ross,neutral,next,sadness,0,0.0
Ross,neutral,prev,joy,2,0.4
Ross,neutral,next,joy,2,0.2857142857142857
Ross,neutral,prev,disgust,0,0.0
Ross,neutral,next,disgust,0,0.0
Ross,neutral,prev,anger,0,0.0
Ross,neutral,next,anger,0,0.0
Ross,surprise,prev,neutral,1,0.5
Ross,surprise,next,neutral,0,0.0
Ross,surprise,prev,surprise,0,0.0
Ross,surprise,next,surprise,0,0.0
Ross,surprise,prev,fear,0,0.0
Ross,surprise,next,fear,0,0.0
Ross,surprise,prev,sadness,1,0.5
Ross,surprise,next,sadness,0,0.0
Ross,surprise,prev,joy,0,0.0
Ross,surprise,next,joy,0,0.0
Ross,surprise,prev,disgust,0,0.0
Ross,surprise,next,disgust,0,0.0
Ross,surprise,prev,anger,0,0.0
Ross,surprise,next,anger,0,0.0
Ross,fear,prev,neutral,3,1.0
Ross,fear,next,neutral,1,1.0
Ross,fear,prev,surprise,0,0.0
Ross,fear,next,surprise,0,0.0
Ross,fear,prev,fear,0,0.0
Ross,fear,next,fear,0,0.0
Ross,fear,prev,sadness,0,0.0
Ross,fear,next,sadness,0,0.0
Ross,fear,prev,joy,0,0.0
Ross,fear,next,joy,0,0.0
Ross,fear,prev,disgust,0,0.0
Ross,fear,next,disgust,0,0.0
Ross,fear,prev,anger,0,0.0
Ross,fear,next,anger,0,0.0
Ross,sadness,prev,neutral,0,0.0
Ross,sadness,next,neutral,2,0.25
Ross,sadness,prev,surprise,0,0.0
Ross,sadness,next,surprise,1,0.125
Ross,sadness,prev,fear,0,0.0
Ross,sadness,next,fear,0,0.0
Ross,sadness,prev,sadness,2,0.5
Ross,sadness,next,sadness,2,0.25
Ross,sadness,prev,joy,1,0.25
Ross,sadness,next,joy,2,0.25
Ross,sadness,prev,disgust,0,0.0
Ross,sadness,next,disgust,0,0.0
Ross,sadness,prev,anger,1,0.25
Ross,sadness,next,anger,1,0.125
Ross,joy,prev,neutral,3,0.42857142857142855
Ross,joy,next,neutral,3,0.375
Ross,joy,prev,surprise,0,0.0
Ross,joy,next,surprise,1,0.125
Ross,joy,prev,fear,0,0.0
Ross,joy,next,fear,0,0.0
Ross,joy,prev,sadness,2,0.2857142857142857
Ross,joy,next,sadness,1,0.125
Ross,joy,prev,joy,2,0.2857142857142857
Ross,joy,next,joy,2,0.25
Ross,joy,prev,disgust,0,0.0
Ross,joy,next,disgust,0,0.0
Ross,joy,prev,anger,0,0.0
Ross,joy,next,anger,1,0.125
Ross,disgust,prev,neutral,0,0.0
Ross,disgust,next,neutral,2,0.6666666666666666
Ross,disgust,prev,surprise,0,0.0
Ross,disgust,next,surprise,1,0.3333333333333333
Ross,disgust,prev,fear,0,0.0
Ross,disgust,next,fear,0,0.0
Ross,disgust,prev,sadness,0,0.0
Ross,disgust,next,sadness,0,0.0
Ross,disgust,prev,joy,0,0.0
Ross,disgust,next,joy,0,0.0
Ross,disgust,prev,disgust,0,0.0
Ross,disgust,next,disgust,0,0.0
Ross,disgust,prev,anger,0,0.0
Ross,disgust,next,anger,0,0.0
Ross,anger,prev,neutral,2,0.3333333333333333
Ross,anger,next,neutral,2,0.3333333333333333
Ross,anger,prev,surprise,0,0.0
Ross,anger,next,surprise,0,0.0
Ross,anger,prev,fear,0,0.0
Ross,anger,next,fear,0,0.0
Ross,anger,prev,sadness,0,0.0
Ross,anger,next,sadness,0,0.0
Ross,anger,prev,joy,1,0.16666666666666666
Ross,anger,next,joy,0,0.0
Ross,anger,prev,disgust,0,0.0
Ross,anger,next,disgust,0,0.0
Ross,anger,prev,anger,3,0.5
Ross,anger,next,anger,4,0.6666666666666666
Phoebe,neutral,prev,neutral,4,0.8
Phoebe,neutral,next,neutral,3,0.75
Phoebe,neutral,prev,surprise,0,0.0
Phoebe,neutral,next,surprise,0,0.0
Phoebe,neutral,prev,fear,0,0.0
Phoebe,neutral,next,fear,0,0.0
Phoebe,neutral,prev,sadness,1,0.2
Phoebe,neutral,next,sadness,0,0.0
Phoebe,neutral,prev,joy,0,0.0
Phoebe,neutral,next,joy,1,0.25
Phoebe,neutral,prev,disgust,0,0.0
Phoebe,neutral,next,disgust,0,0.0
Phoebe,neutral,prev,anger,0,0.0
Phoebe,neutral,next,anger,0,0.0
Phoebe,surprise,prev,neutral,1,0.5
Phoebe,surprise,next,neutral,0,0.0
Phoebe,surprise,prev,surprise,1,0.5
Phoebe,surprise,next,surprise,1,0.5
Phoebe,surprise,prev,fear,0,0.0
Phoebe,surprise,next,fear,0,0.0
Phoebe,surprise,prev,sadness,0,0.0
Phoebe,surprise,next,sadness,0,0.0
Phoebe,surprise,prev,joy,0,0.0
Phoebe,surprise,next,joy,1,0.5
Phoebe,surprise,prev,disgust,0,0.0
Phoebe,surprise,next,disgust,0,0.0
Phoebe,surprise,prev,anger,0,0.0
Phoebe,surprise,next,anger,0,0.0
Phoebe,fear,prev,neutral,2,0.4
Phoebe,fear,next,neutral,2,0.4
Phoebe,fear,prev,surprise,0,0.0
Phoebe,fear,next,surprise,0,0.0
Phoebe,fear,prev,fear,2,0.4
Phoebe,fear,next,fear,2,0.4
Phoebe,fear,prev,sadness,0,0.0
Phoebe,fear,next,sadness,1,0.2
Phoebe,fear,prev,joy,0,0.0
Phoebe,fear,next,joy,0,0.0
Phoebe,fear,prev,disgust,0,0.0
Phoebe,fear,next,disgust,0,0.0
Phoebe,fear,prev,anger,1,0.2
Phoebe,fear,next,anger,0,0.0
Phoebe,sadness,prev,neutral,0,0.0
Phoebe,sadness,next,neutral,3,0.5
Phoebe,sadness,prev,surprise,1,0.25
Phoebe,sadness,next,surprise,0,0.0
Phoebe,sadness,prev,fear,1,0.25
Phoebe,sadness,next,fear,0,0.0
Phoebe,sadness,prev,sadness,1,0.25
Phoebe,sadness,next,sadness,1,0.16666666666666666
Phoebe,sadness,prev,joy,0,0.0
Phoebe,sadness,next,joy,0,0.0
Phoebe,sadness,prev,disgust,0,0.0
Phoebe,sadness,next,disgust,0,0.0
Phoebe,sadness,prev,anger,1,0.25
Phoebe,sadness,next,anger,2,0.3333333333333333
Phoebe,joy,prev,neutral,3,0.6
Phoebe,joy,next,neutral,1,0.25
Phoebe,joy,prev,surprise,1,0.2
Phoebe,joy,next,surprise,1,0.25
Phoebe,joy,prev,fear,0,0.0
Phoebe,joy,next,fear,0,0.0
Phoebe,joy,prev,sadness,0,0.0
Phoebe,joy,next,sadness,0,0.0
Phoebe,joy,prev,joy,1,0.2
Phoebe,joy,next,joy,1,0.25
Phoebe,joy,prev,disgust,0,0.0
Phoebe,joy,next,disgust,0,0.0
Phoebe,joy,prev,anger,0,0.0
Phoebe,joy,next,anger,1,0.25
Phoebe,disgust,prev,neutral,0,0.0
Phoebe,disgust,next,neutral,0,0.0
Phoebe,disgust,prev,surprise,0,0.0
Phoebe,disgust,next,surprise,0,0.0
Phoebe,disgust,prev,fear,0,0.0
Phoebe,disgust,next,fear,0,0.0
Phoebe,disgust,prev,sadness,0,0.0
Phoebe,disgust,next,sadness,0,0.0
Phoebe,disgust,prev,joy,0,0.0
Phoebe,disgust,next,joy,0,0.0
Phoebe,disgust,prev,disgust,1,1.0
Phoebe,disgust,next,disgust,2,1.0
Phoebe,disgust,prev,anger,0,0.0
Phoebe,disgust,next,anger,0,0.0
Phoebe,anger,prev,neutral,0,0.0
Phoebe,anger,next,neutral,1,0.3333333333333333
Phoebe,anger,prev,surprise,0,0.0
Phoebe,anger,next,surprise,0,0.0
Phoebe,anger,prev,fear,0,0.0
Phoebe,anger,next,fear,1,0.3333333333333333
Phoebe,anger,prev,sadness,1,0.2
Phoebe,anger,next,sadness,1,0.3333333333333333
Phoebe,anger,prev,joy,1,0.2
Phoebe,anger,next,joy,0,0.0
Phoebe,anger,prev,disgust,1,0.2
Phoebe,anger,next,disgust,0,0.0
Phoebe,anger,prev,anger,2,0.4
Phoebe,anger,next,anger,0,0.0
Monica,neutral,prev,neutral,3,1.0
Monica,neutral,next,neutral,1,0.3333333333333333
Monica,neutral,prev,surprise,0,0.0
Monica,neutral,next,surprise,0,0.0
Monica,neutral,prev,fear,0,0.0
Monica,neutral,next,fear,0,0.0
Monica,neutral,prev,sadness,0,0.0
Monica,neutral,next,sadness,0,0.0
Monica,neutral,prev,joy,0,0.0
Monica,neutral,next,joy,0,0.0
Monica,neutral,prev,disgust,0,0.0
Monica,neutral,next,disgust,1,0.3333333333333333
Monica,neutral,prev,anger,0,0.0
Monica,neutral,next,anger,1,0.3333333333333333
Monica,surprise,prev,neutral,0,0.0
Monica,surprise,next,neutral,1,0.25
Monica,surprise,prev,surprise,1,0.5
Monica,surprise,next,surprise,1,0.25
Monica,surprise,prev,fear,0,0.0
Monica,surprise,next,fear,0,0.0
Monica,surprise,prev,sadness,0,0.0
Monica,surprise,next,sadness,1,0.25
Monica,surprise,prev,joy,0,0.0
Monica,surprise,next,joy,0,0.0
Monica,surprise,prev,disgust,0,0.0
Monica,surprise,next,disgust,0,0.0
Monica,surprise,prev,anger,1,0.5
Monica,surprise,next,anger,1,0.25
Monica,fear,prev,neutral,0,0.0
Monica,fear,next,neutral,0,0.0
Monica,fear,prev,surprise,0,0.0
Monica,fear,next,surprise,0,0.0
Monica,fear,prev,fear,0,0.0
Monica,fear,next,fear,0,0.0
Monica,fear,prev,sadness,0,0.0
Monica,fear,next,sadness,0,0.0
Monica,fear,prev,joy,0,0.0
Monica,fear,next,joy,0,0.0
Monica,fear,prev,disgust,0,0.0
Monica,fear,next,disgust,0,0.0
Monica,fear,prev,anger,0,0.0
Monica,fear,next,anger,0,0.0
Monica,sadness,prev,neutral,0,0.0
Monica,sadness,next,neutral,1,0.16666666666666666
