vid,utt_index,character,pred,true,text,all_prob,id,is_correct
Ses05F_impro08,2,,5,5,"All I want to do is put my, pay for my freaking credit card, and there's something wrong in my bill, Like I swear, it says I didn't paid last month, but I know I paid last month.","[7.600573326271842e-08, 1.196800349134719e-05, 0.0036814825143665075, 0.4664742946624756, 8.426972635788843e-05, 0.5297479033470154]",Ses05F_impro08_2,True
Ses05M_impro02,24,,1,1,"All- I'll write you everyday, all the time.  And I'll send you pictures and you send me pictures. I know We've got email out there.  We've got email and I can see stuff and you can send me stuff all the time.  Okay?","[0.020981749519705772, 0.7863271236419678, 0.009563853032886982, 0.06382076442241669, 0.017468754202127457, 0.10183775424957275]",Ses05M_impro02_24,True
Ses05F_impro01,23,,5,5,"I am a very compassionate person, and I'm offended that you imply that I'm not.  Of course, I'm compassionate.  Look, I work in the D.M.V..  What do you think I am?  Go wait in line two A.","[3.5592422342745067e-09, 3.7079462344991043e-06, 0.0008099841652438045, 0.4832816421985626, 1.7181420162160066e-06, 0.5159029364585876]",Ses05F_impro01_23,True
Ses05F_script01_2,24,,1,1,You've got to believe. You've got to--,"[7.134645443329646e-07, 0.6036179661750793, 0.031488772481679916, 0.023172739893198013, 2.1186557205510326e-05, 0.3416985273361206]",Ses05F_script01_2_24,True
Ses05F_impro05,60,,5,5,"Well, you know what, it could still turn up, but until then I can offer you this fifty dollar voucher.","[2.31030244322028e-05, 6.429483619285747e-05, 0.35368067026138306, 2.6879864890361205e-05, 6.005080194881884e-06, 0.6461990475654602]",Ses05F_impro05_60,True
Ses05M_script01_2,4,,2,2,Why do you think he's even thinking that?,"[2.155824176952592e-06, 0.00010184723214479163, 0.5163341164588928, 0.0009950631065294147, 0.00021686636318918318, 0.4823499321937561]",Ses05M_script01_2_4,True
Ses05M_script01_2,12,,5,5,"I want you to pretend like he's coming back.  Both of you, don't think I haven't noticed you and Chris since she's gotten here.  I don't want any nonsense.","[1.0800974450830836e-05, 0.019392410293221474, 0.028522949665784836, 0.4535923898220062, 0.0002748062543105334, 0.49820658564567566]",Ses05M_script01_2_12,True
Ses05M_script01_2,14,,5,5,"No, because if she- he's not coming back then I'll kill myself. Laugh!  Laugh at me!","[8.670322131365538e-06, 0.012033789418637753, 0.013904979452490807, 0.43899980187416077, 0.00032204616582021117, 0.5347306728363037]",Ses05M_script01_2_14,True
Ses05F_impro04,41,,1,1,I feel like I have faith and now faith is running thin because there is no money.,"[2.2129155695438385e-05, 0.5662763118743896, 0.036845069378614426, 0.010129649192094803, 2.7053230951423757e-05, 0.3866997957229614]",Ses05F_impro04_41,True
Ses05F_impro04,48,,2,2,But you have to keep trying.  You can't give up.,"[1.3506877621694002e-05, 0.0101498793810606, 0.5416185259819031, 9.846936154644936e-05, 3.2278578601108165e-06, 0.4481164216995239]",Ses05F_impro04_48,True
Ses05F_impro04,76,,1,1,Would you be willing to make some more calls on my behalf? I won't--I won't make you look bad.,"[0.022235970944166183, 0.425896018743515, 0.36631718277931213, 0.00016103318193927407, 0.00033386508584953845, 0.1850558966398239]",Ses05F_impro04_76,True
Ses05F_impro04,78,,2,2,yeah.,"[0.00577411288395524, 0.28018486499786377, 0.47468212246894836, 0.00017834510072134435, 0.00015187956159934402, 0.2390287220478058]",Ses05F_impro04_78,True
Ses05F_impro04,82,,2,2,"I will, I will.","[0.0005598374409601092, 0.38414275646209717, 0.44231727719306946, 0.0001889965933514759, 6.955647404538468e-05, 0.17272159457206726]",Ses05F_impro04_82,True
Ses05M_impro08,3,,5,5,Yeah.  That my service just goes out.,"[0.00028202199609950185, 0.004047249909490347, 0.028151169419288635, 0.0002890231553465128, 0.0012959518935531378, 0.9659346342086792]",Ses05M_impro08_3,True
Ses05F_script03_2,6,,2,2,And what of it?,"[0.0002392756869085133, 0.0028450493700802326, 0.9205038547515869, 0.023449890315532684, 0.005043783690780401, 0.04791811481118202]",Ses05F_script03_2_6,True
Ses05F_script03_2,41,,3,3,They're away in Tunis.,"[0.00022097121109254658, 2.2608252038480714e-05, 0.08908157795667648, 0.8609393239021301, 0.011253926903009415, 0.03848161920905113]",Ses05F_script03_2_41,True
Ses05F_script02_2,14,,5,5,"Twice is every time we tried, that's ever.","[3.7382542359409854e-05, 0.011337806470692158, 0.02056065946817398, 0.48136982321739197, 0.00012989497918169945, 0.4865644872188568]",Ses05F_script02_2_14,True
Ses05F_script02_2,15,,2,2,Well We will see them this year.,"[1.1777138752222527e-05, 7.045020902296528e-05, 0.5936645865440369, 0.0004849719407502562, 0.0009276061318814754, 0.4048405885696411]",Ses05F_script02_2_15,True
Ses05F_script02_2,16,,5,5,"No, we won't.  Augie it's like waiting for Santa Claus to come.  I feel like I am going to spend my entire life standing on the beach with my eyes wide open and my hands clasp expectantly in front of me waiting for the fish to show up and the fish will not show up.","[4.859332329942845e-05, 0.041676126420497894, 0.007447946351021528, 0.35276487469673157, 7.037122850306332e-05, 0.5979921221733093]",Ses05F_script02_2_16,True
Ses05F_script02_2,37,,5,5,"A vacation? A new carpet, a poodle?  A bag of ice cream, a suicide pack, what what Carla?  What the hell do you want?","[0.001549489563331008, 0.012377913109958172, 0.42501792311668396, 0.06516210734844208, 0.006418680772185326, 0.489473819732666]",Ses05F_script02_2_37,True
Ses05F_script02_2,38,,5,5,I want something to turn out the way it is suppose to turn out.,"[3.664334144559689e-05, 0.054646871984004974, 0.0037300463300198317, 0.4220314621925354, 1.0063251465908252e-05, 0.5195448994636536]",Ses05F_script02_2_38,True
Ses05M_impro04,48,,5,5,Because that would just really be a topper for me.,"[0.0003440917644184083, 0.0025950544513761997, 0.22855517268180847, 0.01441963016986847, 0.002034691860899329, 0.7520513534545898]",Ses05M_impro04_48,True
Ses05M_impro04,57,,5,5,Yes!  Nobody wants a juggler.  I am not going to -- I'm not going to dress up like a clown. I'm not going to dress up like a freaking clown. No.,"[5.429223529063165e-05, 0.0025938469916582108, 0.10825095325708389, 0.016865961253643036, 0.00018125322822015733, 0.8720536828041077]",Ses05M_impro04_57,True
Ses05M_impro05,26,,5,5,"I should hope so.  You know, I need that today.","[3.194189048372209e-05, 0.00037754533695988357, 0.018040889874100685, 0.2664036750793457, 0.0004217437526676804, 0.7147241830825806]",Ses05M_impro05_26,True
Ses05M_impro05,31,,5,5,"Yeah.  I mean, if you have a suggestion, like, it would be great to help me out here.","[0.0005305567174218595, 0.0009251325973309577, 0.33347004652023315, 0.0486636646091938, 0.009969983249902725, 0.6064406037330627]",Ses05M_impro05_31,True
Ses05M_impro05,35,,5,5,"Well, could you tell me if it's been confiscated then.","[0.0006941898609511554, 0.00032494906918145716, 0.23913325369358063, 0.023839766159653664, 0.006736938841640949, 0.7292709350585938]",Ses05M_impro05_35,True
Ses05M_impro03,8,,4,4,Okay good. I I assumed.,"[0.4781501293182373, 0.0001447802787879482, 0.005294913426041603, 8.753921065363102e-06, 0.5159711837768555, 0.0004302741144783795]",Ses05M_impro03_8,True
Ses05M_script01_3,0,,2,2,You're the only one I know who loves his parents.,"[0.23153585195541382, 0.19835259020328522, 0.5681689381599426, 2.4663388103363104e-05, 0.0017322826897725463, 0.00018570292741060257]",Ses05M_script01_3_0,True
Ses05F_impro03,33,,0,0,Mm-hmm.,"[0.7468776106834412, 0.00028687098529189825, 0.009851228445768356, 1.165768571809167e-05, 0.24282784759998322, 0.00014477410877589136]",Ses05F_impro03_33,True
Ses05F_impro03,34,,4,4,"Oh, did she cry?","[0.17507301270961761, 0.00015084745245985687, 0.027680423110723495, 0.00010956430196529254, 0.794961154460907, 0.0020249641966074705]",Ses05F_impro03_34,True
Ses05F_impro03,40,,4,4,"The exact right guy, I fully approve.  He's a wonderful guy.  We have a great time.  He can drink.  That's awesome.","[0.08931668847799301, 0.0006325201829895377, 0.031118877232074738, 0.0005354225286282599, 0.8660240173339844, 0.01237261202186346]",Ses05F_impro03_40,True
Ses05F_impro03,49,,4,4,"Oh, thanks. move here before you get married [LAUGHTER]","[0.012934158556163311, 6.343866516544949e-06, 0.0026486730203032494, 1.2013679224764928e-05, 0.9841821789741516, 0.00021664203086402267]",Ses05F_impro03_49,True
Ses05F_impro03,57,,0,0,I have to think about moving now.  We're going to move in together,"[0.6168805956840515, 0.0018071993254125118, 0.02237887866795063, 0.00018996330618392676, 0.35841941833496094, 0.0003238449280615896]",Ses05F_impro03_57,True
Ses05F_impro03,58,,4,4,"Oh yeah, of course.","[0.011549226008355618, 0.0009045496117323637, 0.16766147315502167, 0.0005483854911290109, 0.8172849416732788, 0.0020514673087745905]",Ses05F_impro03_58,True
Ses05F_impro06,35,,2,2,"Cool, Well, If you want me to go with you, I will.","[0.0013279551640152931, 0.43979087471961975, 0.5586076974868774, 5.066407084086677e-06, 4.424445069162175e-05, 0.00022419460583478212]",Ses05F_impro06_35,True
Ses05F_impro06,37,,2,2,No problem.,"[0.00043482155888341367, 0.44388678669929504, 0.5554643869400024, 2.7620465061772848e-06, 1.2349368262221105e-05, 0.0001988850999623537]",Ses05F_impro06_37,True
Ses05M_script02_2,2,,4,4,What I was just saying.,"[0.0011194417020305991, 2.1555457351496443e-05, 0.2785854637622833, 9.460569708608091e-05, 0.7042759656906128, 0.015902981162071228]",Ses05M_script02_2_2,True
Ses05F_script03_1,7,,2,2,The whole business is really rather ridiculous.,"[0.31172266602516174, 0.0833343043923378, 0.33333224058151245, 0.02019532211124897, 0.2105211466550827, 0.040894247591495514]",Ses05F_script03_1_7,True
Ses05F_script03_1,8,,2,2,Meaning exactly that.,"[0.0839749351143837, 0.19873718917369843, 0.5542770028114319, 0.026292335242033005, 0.07723204046487808, 0.0594865083694458]",Ses05F_script03_1_8,True
Ses05F_script03_1,12,,4,4,Certainly you must.  We're figures of fun alright [LAUGHTER].,"[0.09418997168540955, 0.0014304530341178179, 0.04205477237701416, 0.0009681425872258842, 0.8177590370178223, 0.04359754920005798]",Ses05F_script03_1_12,True
Ses05F_script03_1,13,,2,2,"Well, what if-what happens when our love-","[0.13672484457492828, 0.07065174728631973, 0.37302133440971375, 0.015125873498618603, 0.3261701464653015, 0.07830605655908585]",Ses05F_script03_1_13,True
Ses05F_script03_1,23,,4,4,Do you remember that awful scene we had in Venice?,"[0.06404370814561844, 0.002200260991230607, 0.021493088454008102, 0.0011642671888694167, 0.9078090786933899, 0.0032896040938794613]",Ses05F_script03_1_23,True
Ses05M_script03_1,3,,2,2,"We're all right, aren't we, darling, whatever happens?","[0.21159270405769348, 0.048832278698682785, 0.5031096935272217, 0.0009279691730625927, 0.2314067929983139, 0.004130557645112276]",Ses05M_script03_1_3,True
Ses05M_script03_1,14,,4,4,"Um What does it all mean?  That's what I ask myself in my endless quest for ultimate truth.  Dear God, what does it all mean?","[0.11941054463386536, 0.056215088814496994, 0.06962016224861145, 0.016876714304089546, 0.7209206819534302, 0.016956740990281105]",Ses05M_script03_1_14,True
Ses05M_script03_1,23,,4,4,No.  That fire will fade along with our passion.,"[0.024113567546010017, 0.023237500339746475, 0.043332021683454514, 0.04103262349963188, 0.7930919528007507, 0.075192391872406]",Ses05M_script03_1_23,True
Ses05M_script03_1,39,,4,4,"Oh, I didn't hit you very hard.","[0.4521030783653259, 0.0021628187969326973, 0.0432257205247879, 0.00033023173455148935, 0.5013279318809509, 0.0008502971031703055]",Ses05M_script03_1_39,True
Ses05M_script03_1,40,,4,4,I should never forget his face. [LAUGHTER],"[0.35106104612350464, 6.771132029825822e-05, 0.0030183037742972374, 1.0416360055387486e-05, 0.6457819938659668, 6.059141378500499e-05]",Ses05M_script03_1_40,True
Ses05M_script03_1,41,,4,4,We were very much younger then.,"[0.3045903742313385, 0.002198418602347374, 0.03530534729361534, 0.00029863009694963694, 0.6569042205810547, 0.000702953664585948]",Ses05M_script03_1_41,True
Ses05M_script01_1b,32,,3,3,But if that can't happen then I'll just get out.,"[2.497506784493453e-06, 0.004728367552161217, 0.008800553157925606, 0.7225663661956787, 0.00011628739594016224, 0.2637859284877777]",Ses05M_script01_1b_32,True
Ses05M_script01_1b,33,,3,3,"I'll get out.  I'll go get married someplace else, I- I'll live someplace else, maybe New York.","[2.642399977048626e-06, 0.009061544202268124, 0.011008852161467075, 0.6311671733856201, 8.5497296822723e-05, 0.34867435693740845]",Ses05M_script01_1b_33,True
Ses05M_script01_1b,43,,3,3,"No, you don't.  I'm a pretty tough guy.","[2.205811870226171e-05, 0.25146177411079407, 0.048779185861349106, 0.5585802793502808, 0.0003387764736544341, 0.14081788063049316]",Ses05M_script01_1b_43,True
Ses05F_script01_3,7,,0,0,Well the plan was to kind of sneak up on you over a period of a week or so.  But uh- they take it for granted that we're all set.,"[0.8877379894256592, 0.003049033461138606, 0.08484210819005966, 1.1750833436963148e-05, 0.01700494810938835, 0.007354097906500101]",Ses05F_script01_3_7,True
Ses05F_script01_3,18,,0,0,"Like Larry's brother.  Do it like you, Chris.  Chris, what's the matter?","[0.8878764510154724, 0.10305355489253998, 0.002497853944078088, 9.413622319698334e-05, 0.0041356985457241535, 0.002342275343835354]",Ses05F_script01_3_18,True
Ses05F_script01_1,21,,5,5,"Sit down, mom.  I want to talk to you.","[2.857163281078101e-06, 0.006542360410094261, 0.15969829261302948, 0.010578963905572891, 3.415686296648346e-05, 0.8231433033943176]",Ses05F_script01_1_21,True
Ses05F_script01_1,38,,2,2,Well I just don't see why it has to be Annie.,"[0.0054564522579312325, 0.08024684339761734, 0.6597316265106201, 0.03166694566607475, 0.0008497171220369637, 0.22204841673374176]",Ses05F_script01_1_38,True
Ses05M_impro01,9,,5,5,"Well then, when I showed them my I.D. before and I said I had to get a new I.D, why didn't they tell me to fill out the right form?","[9.462473116172987e-08, 1.4306888260762207e-05, 0.0012504482874646783, 0.3013669550418854, 3.2898153676796937e-06, 0.6973649263381958]",Ses05M_impro01_9,True
Ses05M_impro01,32,,5,5,I'm not leaving this line until I get my new I.D.  That's as simple as it is.  I'm not leaving this line until I get my new I.D.,"[1.0259066129947314e-06, 2.1466777980094776e-05, 0.0014229814987629652, 0.38803234696388245, 4.581985922413878e-05, 0.6104763746261597]",Ses05M_impro01_32,True
Ses05M_impro01,34,,5,5,"Well, then you're just gonna look stupid because I'm just waiting for an I.D. and you're gonna make security take me out because I want my I.D.","[2.924921602698305e-07, 1.0444985491631087e-05, 0.0006369869224727154, 0.33247244358062744, 1.64899138326291e-05, 0.6668633818626404]",Ses05M_impro01_34,True
Ses05M_impro01,37,,5,5,I filled out the wrong form because they made me fill out the wrong form!,"[3.860168931169028e-07, 3.454430043348111e-05, 0.002217512112110853, 0.4357385039329529, 2.390797271800693e-05, 0.5619851350784302]",Ses05M_impro01_37,True
Ses05M_impro07,22,,0,0,"Um- I'm gonna be studying at U.S.C., too.","[0.5138096213340759, 2.728642175497953e-05, 0.011125316843390465, 4.3755619572038995e-07, 0.47497689723968506, 6.047069837222807e-05]",Ses05M_impro07_22,True
Ses05M_impro07,33,,4,4,"They don't live here.  They don't know, right?","[0.03604920953512192, 0.0002607211354188621, 0.29362815618515015, 0.0007687167963013053, 0.6536679863929749, 0.01562526263296604]",Ses05M_impro07_33,True
Ses05M_impro07,39,,4,4,yeah.,"[0.06203935295343399, 4.7947149141691625e-05, 0.0622769370675087, 8.725993393454701e-05, 0.8741611838340759, 0.001387273776344955]",Ses05M_impro07_39,True
Ses05M_impro07,41,,4,4,"Well, I don't know.  I've got to go look for a place.","[0.016193939372897148, 0.0014141362626105547, 0.4535965621471405, 0.002270907163619995, 0.5077326893806458, 0.01879184879362583]",Ses05M_impro07_41,True
Ses05M_impro07,43,,4,4,"Yeah, yeah.  I- I don't- I don't know.  Do you have any suggestions?","[0.004577974323183298, 0.00035053209285251796, 0.401730477809906, 0.0020094027277082205, 0.5769303441047668, 0.01440128032118082]",Ses05M_impro07_43,True
Ses05M_impro07,46,,2,2,"Yeah.  I mean, I know, I know, like the- the housing surrounding the campus pretty well.","[0.21541054546833038, 0.00041460784268565476, 0.7260118126869202, 8.239903399953619e-05, 0.05281470715999603, 0.005265906918793917]",Ses05M_impro07_46,True
Ses05M_impro07,63,,0,0,"You've got a lot- oh, awesome.","[0.5964468717575073, 0.0003612204745877534, 0.041106928139925, 2.3466060156351887e-05, 0.3608744442462921, 0.0011871261522173882]",Ses05M_impro07_63,True
Ses05M_impro07,81,,0,0,Yeah.  We'll have so much fun.,"[0.5920133590698242, 0.00019234536739531904, 0.20198790729045868, 1.609454739082139e-05, 0.2052823007106781, 0.0005079358816146851]",Ses05M_impro07_81,True
Ses05M_script01_1,40,,3,3,"But if that can't happen, I'll just have to get out.","[4.997075961910014e-07, 0.011646619066596031, 0.018704436719417572, 0.777642548084259, 5.7675180869409814e-05, 0.19194816052913666]",Ses05M_script01_1_40,True
